top_k,feature,feature_label,histogram_gradient_boosting_rank,histogram_gradient_boosting_importance,logistic_regression_rank,logistic_regression_importance,random_forest_rank,random_forest_importance
20,post_month,Posting month,17,0.003733111258655164,16,0.0028868783867767034,8,0.007430217344405003
20,tag__engineer,Tag: engineer,3,0.011089268463073343,5,0.010199967862382012,12,0.00606170594198067
20,tag__javascript,Tag: javascript,9,0.007400848262641017,9,0.0061025241561348436,13,0.005413352325534008
20,tag__marketing,Tag: marketing,8,0.008087661021792628,15,0.002932077491696994,5,0.008139816798650057
20,tag__non_tech,Tag: non tech,4,0.010203390182525732,4,0.011330680626343126,7,0.007775393744325343
20,tag__sales,Tag: sales,2,0.014107233265242066,3,0.013173574655488776,4,0.01302676977193229
20,tag__video,Tag: video,7,0.008362015985821055,6,0.008821517510125868,14,0.005119354637957911
20,tag_count,Number of tags,5,0.00950138962379606,1,0.028640065330033715,3,0.01385221605100421
